id,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand,flight_terminal,empty_spaces,air_classes,count_date,type_mc,flight_datetime_start,flight_datetime_finish,C_vc,index
0,D,2019-05-17 00:05:00,SU,1424,D,CEK,32A,158,87,86,1,71,Narrow_Body,4,away,2019-05-16 23:00:00,2019-05-17 00:05:00,1550,504
1,A,2019-05-17 00:05:00,SU,1493,D,MMK,SU9,87,80,86,1,7,Regional,4,away,2019-05-17 00:05:00,2019-05-17 00:55:00,1250,547
2,A,2019-05-17 00:05:00,AF,1144,I,CDG,319,143,129,1,5,14,Narrow_Body,4,away,2019-05-17 00:05:00,2019-05-17 01:10:00,1550,317
3,D,2019-05-17 00:05:00,SU,1334,D,ARH,SU9,87,72,86,1,15,Regional,4,away,2019-05-16 23:15:00,2019-05-17 00:05:00,1250,442
4,D,2019-05-17 00:10:00,SU,1954,I,SCO,SU9,87,63,74,2,24,Regional,5,away,2019-05-16 23:20:00,2019-05-17 00:10:00,1250,680
5,D,2019-05-17 00:10:00,SU,1948,I,AKX,SU9,87,38,75,2,49,Regional,5,away,2019-05-16 23:20:00,2019-05-17 00:10:00,1250,678
6,A,2019-05-17 00:10:00,SU,2469,I,BUD,320,140,71,2,3,69,Narrow_Body,5,away,2019-05-17 00:10:00,2019-05-17 01:15:00,1500,881
7,D,2019-05-17 00:10:00,SU,1478,D,ABA,73H,158,140,2,3,18,Narrow_Body,5,away,2019-05-16 23:05:00,2019-05-17 00:10:00,1500,536
8,A,2019-05-17 00:10:00,SU,2097,I,BEG,73H,158,74,2,3,84,Narrow_Body,5,away,2019-05-17 00:10:00,2019-05-17 01:15:00,1500,733
9,A,2019-05-17 00:20:00,SU,517,I,TLV,321,170,123,3,3,47,Narrow_Body,2,away,2019-05-17 00:20:00,2019-05-17 01:25:00,1500,194
10,A,2019-05-17 00:20:00,SU,1427,D,CEK,73H,158,75,86,1,83,Narrow_Body,2,away,2019-05-17 00:20:00,2019-05-17 01:25:00,1550,507
11,A,2019-05-17 00:25:00,SU,2125,I,SKG,32B,183,116,4,3,67,Narrow_Body,2,away,2019-05-17 00:25:00,2019-05-17 01:30:00,1500,747
